ts_code,symbol,name,market,area,industry,ths_industry,ths_concepts,pe,pb,total_mv,circ_mv,turnover_rate,turnover_rate_f,list_date,cr_end_date,current_ratio,fcf_end_date,fcf
920833.BJ,920833,美心翼申,北交所,重庆,汽车配件,工业(A股),融资融券|新能源汽车|专精特新|两轮车|西部大开发,40.8414,1.918,118104.24,89566.5645,2.4643,4.2522,20231108,,,,
920123.BJ,920123,芭薇股份,北交所,广东,日用化工,日常消费品(A股),融资融券|医美概念|合成生物|DeepSeek概念,32.3436,2.928,125036.34,71332.4764,1.2861,2.0432,20240329,,,,
603202.SH,603202,天有为,主板,黑龙江,汽车配件,非日常生活消费品(A股),融资融券|沪股通|汽车电子|参股银行|人民币贬值受益|两轮车|比亚迪概念|新型工业化|智能座舱,11.6156,1.5578,1070880.0,336079.4374,1.7459,1.7459,20250424,20260331,3.6372,,
603382.SH,603382,海阳科技,主板,江苏,化纤,原材料(A股),融资融券|新股与次新股|工业互联网|注册制次新股|绿色电力|数字经济,36.2973,2.3539,416878.1464,83375.736,3.2293,3.2293,20250612,20260331,1.2108,,
301491.SZ,301491,汉桑科技,创业板,江苏,IT设备,信息技术(A股),物联网|融资融券|智能穿戴|智能家居|新股与次新股|深股通|人工智能|智能音箱|消费电子概念|人民币贬值受益|注册制次新股,26.6916,2.7407,596625.0,132198.4563,3.9542,3.9542,20250806,,,,
920806.BJ,920806,云星宇,北交所,北京,软件服务,信息技术(A股),融资融券|智慧城市|京津冀一体化|机器人概念|车联网(车路协同)|百度概念|ETC|新型城镇化|机器视觉|国企改革|毫米波雷达|数据要素|低空经济,42.816,2.0915,326900.757,326900.757,0.7661,2.3586,20240111,,,,
920008.BJ,920008,成电光信,北交所,四川,通信设备,信息技术(A股),融资融券|军工|虚拟现实|专精特新|军工信息化|西部大开发,89.9955,4.4818,145923.75,77873.4304,4.2687,4.2687,20240829,,,,
301667.SZ,301667,纳百川,创业板,浙江,汽车配件,非日常生活消费品(A股),融资融券|新能源汽车|新股与次新股|深股通|锂电池概念|宁德时代概念|华为概念|注册制次新股|储能|专精特新|汽车热管理,126.0547,9.448,1218315.336,245414.5477,29.2041,29.2041,20251223,,,,
920088.BJ,920088,科力股份,北交所,新疆,石油开采,能源(A股),融资融券|新疆振兴|一带一路|专精特新|净水概念|空气能热泵|西部大开发,56.046,4.5244,317057.4,117238.428,10.9334,11.6556,20241029,,,,
920098.BJ,920098,科隆新材,北交所,陕西,橡胶,原材料(A股),融资融券|新疆振兴|高端装备|高铁|无人机|风电|军工|军民融合|煤炭概念|专精特新|液冷服务器|低空经济|商业航天|西部大开发,33.1984,2.0505,195250.206,132956.9693,2.9877,4.4741,20241205,,,,
