ts_code,csname,extname,cname,index_code,index_name,list_date,exchange
159131.SZ,华宝中证港股通信息技术综合ETF,港股通信息技术ETF华宝,华宝中证港股通信息技术综合交易型开放式指数证券投资基金,930967.CSI,中证港股通信息技术综合指数,20251113,SZ
159132.SZ,富国恒生生物科技ETF,恒生生物科技ETF富国,富国恒生生物科技交易型开放式指数证券投资基金,HSBIO.HI,恒生生物科技指数,20260108,SZ
159133.SZ,天弘中证细分化工产业主题ETF,化工ETF天弘,天弘中证细分化工产业主题交易型开放式指数证券投资基金,000813.CSI,中证细分化工产业主题指数,20251125,SZ
159135.SZ,前海开源恒生港股通科技主题ETF,港股通科技ETF前海开源,前海开源恒生港股通科技主题交易型开放式指数证券投资基金,HSSCITI.HI,恒生港股通科技主题指数,20260211,SZ
159136.SZ,广发中证A50ETF,A50ETF广发,广发中证A50交易型开放式指数证券投资基金,930050.CSI,中证A50指数,20251225,SZ
159137.SZ,华宝中证港股通医疗主题ETF,港股通医疗ETF华宝,华宝中证港股通医疗主题交易型开放式指数证券投资基金,932069.CSI,中证港股通医疗主题指数,20260112,SZ
159138.SZ,易方达中证工程机械主题ETF,工程机械ETF易方达,易方达中证工程机械主题交易型开放式指数证券投资基金,931752.CSI,中证工程机械主题指数,20260113,SZ
159139.SZ,华泰柏瑞中证科创创业人工智能ETF,科创创业人工智能ETF华泰柏瑞,华泰柏瑞中证科创创业人工智能交易型开放式指数证券投资基金,932456.CSI,中证科创创业人工智能指数,20251219,SZ
159140.SZ,易方达中证科创创业人工智能ETF,科创创业人工智能ETF易方达,易方达中证科创创业人工智能交易型开放式指数证券投资基金,932456.CSI,中证科创创业人工智能指数,20251218,SZ
159141.SZ,科创创业人工智能ETF永赢,科创创业人工智能ETF永赢,永赢中证科创创业人工智能交易型开放式指数证券投资基金,932456.CSI,中证科创创业人工智能指数,20251211,SZ
159142.SZ,景顺长城中证科创创业人工智能ETF,科创创业人工智能ETF景顺,景顺长城中证科创创业人工智能交易型开放式指数证券投资基金,932456.CSI,中证科创创业人工智能指数,20251212,SZ
159143.SZ,平安恒生中国央企红利ETF,港股通央企红利ETF平安,平安恒生港股通中国央企红利交易型开放式指数证券投资基金,HSSCSOY.HI,恒生港股通中国央企红利指数,20260112,SZ
159145.SZ,广发国证工业软件主题ETF,工业软件ETF广发,广发国证工业软件主题交易型开放式指数证券投资基金,980034.SZ,国证工业软件主题指数,20260119,SZ
159146.SZ,华宝中证全指电力公用事业ETF,电力ETF华宝,华宝中证全指电力公用事业交易型开放式指数证券投资基金,H30199.CSI,中证全指电力公用事业指数,20260120,SZ
159147.SZ,南方中证电池主题ETF,电池ETF南方,南方中证电池主题交易型开放式指数证券投资基金,931719.CSI,中证电池主题指数,20260123,SZ
159148.SZ,富国国证石油天然气ETF,石油ETF富国,富国国证石油天然气交易型开放式指数证券投资基金,399439.SZ,国证石油天然气指数,20260211,SZ
159149.SZ,创业板新能源ETF工银,创业板新能源ETF工银,工银瑞信创业板新能源交易型开放式指数证券投资基金,399266.SZ,创业板新能源指数,20260120,SZ
159150.SZ,易方达深证50ETF,深证50ETF易方达,易方达深证50交易型开放式指数证券投资基金,399850.SZ,深证50指数,20231211,SZ
159151.SZ,华夏中证全指食品ETF,食品ETF华夏,华夏中证全指食品交易型开放式指数证券投资基金,H30192.CSI,中证全指食品指数,20260114,SZ
159152.SZ,平安恒生港股通科技主题ETF,港股通科技ETF平安,平安恒生港股通科技主题交易型开放式指数证券投资基金,HSSCITI.HI,恒生港股通科技主题指数,20260203,SZ
159153.SZ,鹏华国证消费电子主题ETF,消费电子ETF鹏华,鹏华国证消费电子主题交易型开放式指数证券投资基金,980030.SZ,国证消费电子主题指数,20260209,SZ
159155.SZ,大成中证电池主题ETF,电池ETF大成,大成中证电池主题交易型开放式指数证券投资基金,931719.CSI,中证电池主题指数,20260121,SZ
159156.SZ,万家国证新能源车电池ETF,电池ETF万家,万家国证新能源车电池交易型开放式指数证券投资基金,980032.SZ,国证新能源车电池指数,20260212,SZ
159157.SZ,天弘中证工业有色金属主题ETF,有色金属ETF天弘,天弘中证工业有色金属主题交易型开放式指数证券投资基金,H11059.CSI,中证工业有色金属主题指数,20260206,SZ
159158.SZ,景顺长城中证全指电力公用事业ETF,电力ETF景顺,景顺长城中证全指电力公用事业交易型开放式指数证券投资基金,H30199.CSI,中证全指电力公用事业指数,20260127,SZ
159159.SZ,国投瑞银中证全指公用事业ETF,公用事业ETF国投瑞银,国投瑞银中证全指公用事业交易型开放式指数证券投资基金,000995.CSI,中证全指公用事业指数,20260212,SZ
159160.SZ,电池ETF东财,电池ETF东财,东财中证电池主题交易型开放式指数证券投资基金,931719.CSI,中证电池主题指数,20260327,SZ
159162.SZ,鹏华中证工业有色金属主题ETF,工业有色ETF鹏华,鹏华中证工业有色金属主题交易型开放式指数证券投资基金,H11059.CSI,中证工业有色金属主题指数,20260129,SZ
159163.SZ,泰康中证有色金属矿业主题ETF,有色ETF泰康,泰康中证有色金属矿业主题交易型开放式指数证券投资基金,931892.CSI,中证有色金属矿业主题指数,20260209,SZ
159165.SZ,养殖ETF永赢,养殖ETF永赢,永赢中证畜牧养殖产业交易型开放式指数证券投资基金,931946.CSI,中证畜牧养殖产业指数,20260212,SZ
159166.SZ,长城国证自由现金流ETF,现金流ETF长城,长城国证自由现金流交易型开放式指数证券投资基金,980092.SZ,国证自由现金流指数,20260318,SZ
159167.SZ,港股通医疗ETF工银,港股通医疗ETF工银,工银瑞信中证港股通医疗主题交易型开放式指数证券投资基金,932069.CSI,中证港股通医疗主题指数,20260212,SZ
159168.SZ,富国中证工业有色金属主题ETF,有色ETF富国,富国中证工业有色金属主题交易型开放式指数证券投资基金,H11059.CSI,中证工业有色金属主题指数,20260212,SZ
159169.SZ,广发恒生生物科技ETF,恒生生物科技ETF广发,广发恒生生物科技交易型开放式指数证券投资基金,HSBIO.HI,恒生生物科技指数,20260304,SZ
159170.SZ,港股通互联网ETF永赢,港股通互联网ETF永赢,永赢国证港股通互联网交易型开放式指数证券投资基金,987022.SZ,国证港股通互联网指数,20260319,SZ
159171.SZ,博时中证工业有色金属主题ETF,工业有色ETF博时,博时中证工业有色金属主题交易型开放式指数证券投资基金,H11059.CSI,中证工业有色金属主题指数,20260305,SZ
159172.SZ,汇添富中证畜牧养殖产业ETF,养殖ETF汇添富,汇添富中证畜牧养殖产业交易型开放式指数证券投资基金,931946.CSI,中证畜牧养殖产业指数,20260320,SZ
159173.SZ,南方中证全指农牧渔ETF,农牧ETF南方,南方中证全指农牧渔交易型开放式指数证券投资基金,930910.CSI,中证全指农牧渔指数,20260402,SZ
159175.SZ,易方达中证电池主题ETF,电池ETF易方达,易方达中证电池主题交易型开放式指数证券投资基金,931719.CSI,中证电池主题指数,20260305,SZ
159176.SZ,华宝中证全指家用电器ETF,家电ETF华宝,华宝中证全指家用电器交易型开放式指数证券投资基金,930697.CSI,中证全指家用电器指数,20260403,SZ
159177.SZ,鹏华中证工程机械主题ETF,工程机械ETF鹏华,鹏华中证工程机械主题交易型开放式指数证券投资基金,931752.CSI,中证工程机械主题指数,20260402,SZ
159178.SZ,汇添富国证消费电子主题ETF,消费电子ETF汇添富,汇添富国证消费电子主题交易型开放式指数证券投资基金,980030.SZ,国证消费电子主题指数,20260428,SZ
159179.SZ,港股通互联网ETF工银,港股通互联网ETF工银,工银瑞信中证港股通互联网交易型开放式指数证券投资基金,931637.CSI,中证港股通互联网指数,20260403,SZ
159180.SZ,软件ETF银华,软件ETF银华,银华国证工业软件主题交易型开放式指数证券投资基金,980034.SZ,国证工业软件主题指数,20260403,SZ
159181.SZ,易方达国证石油天然气ETF,石油ETF易方达,易方达国证石油天然气交易型开放式指数证券投资基金,399439.SZ,国证石油天然气指数,20260319,SZ
159182.SZ,南方中证全指家用电器ETF,家电ETF南方,南方中证全指家用电器交易型开放式指数证券投资基金,930697.CSI,中证全指家用电器指数,20260508,SZ
159183.SZ,招商中证新能源汽车ETF,新能源车ETF招商,招商中证新能源汽车交易型开放式指数证券投资基金,399976.SZ,中证新能源汽车指数,20260324,SZ
159185.SZ,鹏华中证港股通信息技术综合ETF,港股通信息技术ETF鹏华,鹏华中证港股通信息技术综合交易型开放式指数证券投资基金,930967.CSI,中证港股通信息技术综合指数,20260424,SZ
159186.SZ,鹏华恒生港股通汽车主题ETF,港股通汽车ETF鹏华,鹏华恒生港股通汽车主题交易型开放式指数证券投资基金,HSSCAM.HI,恒生港股通汽车主题指数,20260420,SZ
159187.SZ,景顺长城创业板新能源ETF,创业板新能源ETF景顺,景顺长城创业板新能源交易型开放式指数证券投资基金,399266.SZ,创业板新能源指数,20260401,SZ
159188.SZ,景顺长城标普中国A股红利100ETF,红利100ETF景顺,景顺长城标普中国A股红利100交易型开放式指数证券投资基金,SPCADMCP.OTH,标普中国A股红利100指数,20260410,SZ
159189.SZ,华夏国证石油天然气ETF,石油ETF华夏,华夏国证石油天然气交易型开放式指数证券投资基金,399439.SZ,国证石油天然气指数,20260319,SZ
159190.SZ,天弘创业板新能源ETF,创业板新能源ETF天弘,天弘创业板新能源交易型开放式指数证券投资基金,399266.SZ,创业板新能源指数,20260330,SZ
159191.SZ,易方达国证港股通科技ETF,港股通科技ETF易方达,易方达国证港股通科技交易型开放式指数证券投资基金,987008.SZ,国证港股通科技指数,20260326,SZ
159192.SZ,汇添富中证家电龙头ETF,家电ETF汇添富,汇添富中证家电龙头交易型开放式指数证券投资基金,931021.CSI,中证家电龙头指数,20260430,SZ
159193.SZ,新能源电池ETF银华,新能源电池ETF银华,银华国证新能源电池交易型开放式指数证券投资基金,980027.SZ,国证新能源电池指数,20260506,SZ
